direction,market_price_at_signal,source_tier_mix,cosine_score,impact_strength,llm_confidence,ambiguity_score,specificity_score,bucket,articles_count,unique_sources_count,move_t24h_pct,direction_correct,heuristic_score,heuristic_strength,heuristic_trade_quality,confidence_label,urgency_label,tradability_label,window_estimate,price_t5min,price_t15min,price_t1h,price_t24h,price_resolved,move_t5min_pct,move_t15min_pct,move_t1h_pct,outcome_label,market_question,market_category,market_volume,market_liquidity,market_spread,market_end_date,event_title,event_type,hour_of_day
BUY_YES,0.232,"{""tier_1"": 1.0}",0.6318,0.6,0.8,0.3,0.7,politics,1,1,89.0086,1,68.0,75.0,77.0,high,medium,excellent,> 1 month,0.459,0.4595,0.463,0.4385,,97.8448,98.0603,99.569,,Will Andy Burnham be the next Prime Minister of the United Kingdom in 2026?,Politics,592050.974828,48399.18013,,2026-12-31 00:00:00+00,Pound Falls After Andy Burnham Announces Parliament Run,breaking_news,17
BUY_NO,0.64,"{""tier_1"": 1.0}",0.669,0.6,0.8,0.2,0.9,politics,1,1,0.0,0,69.7,74.0,87.0,high,critical,excellent,< 1 week,0.645,0.645,0.625,0.64,,0.7813,0.7813,-2.3438,,Will Thomas Massie be the Republican nominee for KY-04?,Politics,1562691.890346,144768.5255,,2026-05-19 00:00:00+00,Massie Trails Gallrein in Kentucky GOP Primary Poll,update,17
BUY_NO,0.07,,0.5439,0.4,0.8,0.3,0.7,politics,1,1,7.1429,0,58.0,58.0,58.0,low,medium,excellent,,0.08,0.075,0.075,0.075,,14.2857,7.1429,7.1429,,"Will the US officially declare war on Iran by December 31, 2026?",Trump Presidency,551443.47031,55550.0687,,2026-12-31 00:00:00+00,Senate Democrats Push Vote on Trump's War Powers,breaking_news,2
BUY_YES,0.93,"{""tier_1"": 1.0}",0.6221,0.9,0.95,0.1,0.9,politics,1,1,-1.6129,0,73.1,90.0,77.0,high,medium,excellent,> 1 month,0.935,0.915,0.92,0.915,,0.5376,-1.6129,-1.0753,,Will Viktor Orbán be the next leader out before 2027?,Geopolitics,216396.944014,20876.00257,,2026-12-31 00:00:00+00,Orbán Resigns from Hungarian Parliament After Defeat,breaking_news,20
BUY_YES,0.21,,0.5526,0.6,0.8,0.3,0.7,geopolitics,1,1,16.6667,1,71.0,70.0,77.0,medium,medium,excellent,> 1 month,0.21,0.21,0.21,0.245,,0.0,0.0,0.0,,Iran leadership change by June 30?,Mojtaba,1186764.405487,46333.7132,,2026-06-30 00:00:00+00,Iran's Regime Faces Internal Struggles,breaking_news,1
BUY_YES,0.27,,0.6734,0.9,0.95,0.1,0.95,politics,1,1,-64.8148,0,79.0,84.0,67.0,medium,high,good,< 1 month,0.235,0.225,0.165,0.095,,-12.963,-16.6667,-38.8889,,Will Trump disparage Pope Leo XIV by April 30?,Trump,19034.374023,135.64199,,2026-04-30 00:00:00+00,Trump's Unprecedented Attacks on Pope Leo,breaking_news,0
BUY_YES,0.54,"{""tier_1"": 1.0}",0.5356,0.6,0.85,0.2,0.8,economics,1,1,-2.7778,0,70.5,76.0,87.0,high,critical,excellent,< 1 week,0.555,0.565,0.545,0.525,,2.7778,4.6296,0.9259,,Will fewer than 20 ships transit the Strait of Hormuz between May 11-May 17?,tanker,345046.247979,28380.50468,,2026-05-17 00:00:00+00,Iran Oil Shipments Halt at Kharg Island Terminal,breaking_news,18
BUY_NO,0.08,"{""tier_1"": 1.0}",0.5226,0.6,0.75,0.3,0.7,politics,1,1,25.0,0,63.8,72.0,83.0,medium,high,excellent,< 1 month,0.08,0.08,0.08,0.1,,0.0,0.0,0.0,,"Will Israel launch a ground operation in Iran by May 31, 2026?",Geopolitics,512657.720413,22540.7429,,2026-05-31 00:00:00+00,Netanyahu Discusses Ongoing Conflict with Iran,update,17
BUY_NO,0.2,,0.6897,0.7,0.85,0.2,0.8,economics,1,1,2.5,0,73.0,75.0,67.0,medium,high,good,< 1 month,0.185,0.185,0.185,0.205,,-7.5,-7.5,-7.5,,Will the criminal investigation into Jerome Powell be dropped by April 30?,Trump,110548.131916,249180.44037,,2026-04-30 00:00:00+00,Prosecutors Investigate Federal Reserve Headquarters,breaking_news,16
BUY_NO,0.38,"{""tier_1"": 1.0}",0.5522,0.6,0.8,0.3,0.7,geopolitics,1,1,-9.2105,1,66.3,74.0,72.0,medium,critical,good,< 1 week,0.39,0.385,0.365,0.345,,2.6316,1.3158,-3.9474,,Will Israel be in the top 3 at Eurovision 2026?,Culture,13998.539594,6048.9178,,2026-05-16 00:00:00+00,Pro-Palestine Protests Disrupt Israel's Eurovision Performance,breaking_news,17
BUY_YES,0.68,"{""tier_1"": 1.0}",0.6654,0.6,0.85,0.2,0.8,crypto,1,1,5.8824,1,68.8,76.0,77.0,high,medium,excellent,> 1 month,0.72,0.72,0.72,0.72,,5.8824,5.8824,5.8824,,Will Flavio Bolsonaro qualify for Brazil's presidential runoff?,Global Elections,21138.092886,13414.4787,,2026-10-04 00:00:00+00,Lula and Bolsonaro Tied in Datafolha Poll,update,17
BUY_YES,0.85,,0.6235,0.6,0.8,0.3,0.7,geopolitics,1,1,17.6471,1,68.0,70.0,62.0,medium,medium,good,> 1 month,0.865,0.875,0.88,1.0,,1.7647,2.9412,3.5294,,"Israel announces suspension of Lebanon offensive by May 31, 2026?",Hezbollah,11371.72849,8482.7701,,2026-06-30 00:00:00+00,Hezbollah Indicates Possible Ceasefire in Lebanon,breaking_news,16
BUY_YES,0.25,"{""tier_1"": 1.0}",0.628,0.6,0.8,0.2,0.7,economics,1,1,-42.0,0,66.3,75.0,67.0,medium,high,good,< 1 month,0.2,0.215,0.225,0.145,,-20.0,-14.0,-10.0,,Will the Reserve Bank of New Zealand increase the official cash rate after the May decision?,Economy,10832.969168,4238.4383,,2026-05-27 00:00:00+00,New Zealand Inflation Expectations Increase in Q2,update,8
BUY_NO,0.86,"{""tier_1"": 1.0}",0.5611,0.7,0.85,0.2,0.7,geopolitics,1,1,-1.1628,1,62.9,74.0,77.0,medium,medium,excellent,> 1 month,0.88,0.88,0.89,0.85,,2.3256,2.3256,3.4884,,Will Jared Kushner attend the next US x Iran diplomatic meeting?,Politics,127189.705599,22444.9825,,2026-06-30 00:00:00+00,US Negotiators to Visit Islamabad Amid Iran's Stance,breaking_news,8
